url,nombre,precio,precio_descuento,categoria,subcategoria,subsubcategoria,imagen
https://www.carrefour.es/supermercado/limpiador-cocina-aroma-citricos-carrefour-expert-750-ml/R-VC4AECOMM-532271/p,Limpiador cocina aroma cítricos Carrefour Expert 750 ml.,"2,45 €",,Limpieza y Hogar,Productos para Cocina,Quitagrasas,https://static.carrefour.es/hd_510x_/img_pim_food/532271_00_1.jpg
https://www.carrefour.es/supermercado/galletas-rellenas-de-crema-de-chocolate-y-leche-principe-300-g/R-800036201/p,Galletas rellenas de crema de chocolate y leche Príncipe 300 g.,"2,09 €",,La Despensa,Desayuno,Galletas,https://static.carrefour.es/hd_510x_/img_pim_food/899492_00_1.jpg
https://www.carrefour.es/supermercado/hamburguesa-de-vacuno-raza-angus-carrefour-selection-300-g/R-VC4AECOMM-007504/p,Hamburguesa de Vacuno Raza Angus Carrefour Selection 300 g,"4,00 €",,Productos Frescos,Carnicería,Hamburguesas,https://static.carrefour.es/hd_510x_/img_pim_food/007504_00_1.jpg
https://www.carrefour.es/supermercado/crema-de-queso-azul-carrefour-sin-gluten-125-g/R-VC4AECOMM-563546/p,Crema de queso azul Carrefour sin gluten 125 g.,"1,74 €",,Productos Frescos,Quesos,Crema de queso,https://static.carrefour.es/hd_510x_/img_pim_food/563546_00_1.jpg
https://www.carrefour.es/supermercado/aceitunas-verdes-en-rodajas-carrefour-pack-de-3-unidades-de-50-g/R-VC4AECOMM-488066/p,Aceitunas verdes en rodajas Carrefour pack de 3 unidades de 50 g.,"2,95 €",,La Despensa,Aperitivos,Aceitunas y Encurtidos,https://static.carrefour.es/hd_510x_/img_pim_food/488066_00_1.jpg
https://www.carrefour.es/supermercado/leche-condensada-carrefour-450-g/R-521003207/p,Leche condensada Carrefour 450 g.,"2,59 €",,La Despensa,Lácteos,"Leche Condensada, Evaporada y en Polvo",https://static.carrefour.es/hd_510x_/img_pim_food/635016_00_1.jpg
https://www.carrefour.es/supermercado/vino-tinto-joven-mencia-rectoral-de-amandi-vendimia-seleccionada-do-ribeira-sacra-75-cl/R-521010356/p,Rectoral De Amandi Tinto 2023,"6,95 €",,Bebidas,Vinos,Tinto,https://static.carrefour.es/hd_510x_/img_pim_food/045472_00_1.jpg
https://www.carrefour.es/supermercado/perfumador-para-ropa-cielo-de-primavera-san-40-lavados/R-VC4AECOMM-203506/p,Perfumador para ropa cielo de primavera San 40 lavados.,"4,35 €",,Limpieza y Hogar,Cuidado de la Ropa,Suavizantes,https://static.carrefour.es/hd_510x_/img_pim_food/203506_00_1.jpg
https://www.carrefour.es/supermercado/salsa-chipotle-cremosa-zaaschila-envase-265-g/R-VC4AECOMM-151098/p,Salsa chipotle cremosa Zaaschila envase 265 g.,"5,59 €",,La Despensa,Alimentación,Salsas y Tomate Frito,https://static.carrefour.es/hd_510x_/img_pim_food/151098_00_1.jpg
https://www.carrefour.es/supermercado/patatas-fritas-en-aceite-de-oliva-virgen-extra-casa-vella-sin-gluten-y-sin-lactosa-150-g/R-798285102/p,Patatas fritas en aceite de oliva virgen extra Casa Vella sin gluten y sin lactosa 150 g.,"2,69 €",,La Despensa,Aperitivos,Patatas Fritas,https://static.carrefour.es/hd_510x_/img_pim_food/901341_00_1.jpg
https://www.carrefour.es/supermercado/barrina-energenita-sabor-melocoton-gummy-power-just-loading-pack-de-3-unidades-de-30-g/R-VC4AECOMM-206963/p,Barrina energénita sabor melocotón Gummy Power Just Loading pack de 3 unidades de 30 g.,"3,69 €",,La Despensa,Desayuno,Barritas,https://static.carrefour.es/hd_510x_/img_pim_food/206963_00_1.jpg
https://www.carrefour.es/supermercado/champu-hair-food-aloe-vera-hidratante-garnier-fructis-350-ml/R-VC4AECOMM-442957/p,Champú Hair Food aloe vera hidratante Garnier-Fructis 350 ml.,"5,49 €",,Perfumería e Higiene,Cabello,Champús,https://static.carrefour.es/hd_510x_/img_pim_food/442957_00_1.jpg
https://www.carrefour.es/supermercado/cafe-capsulas-guatemala-starbucks-compatible-con-nespresso-10-ud/R-VC4AECOMM-100305/p,Café cápsulas Guatemala Starbucks compatible con Nespresso 10 ud.,"5,09 €",,La Despensa,Desayuno,Cafés,https://static.carrefour.es/hd_510x_/img_pim_food/100305_00_1.jpg
https://www.carrefour.es/supermercado/arroz-largo-la-cigala-1-kg/R-521005530/p,Arroz largo La Cigala 1 kg.,"2,09 €",,La Despensa,Alimentación,Arroz y Cous Cous,https://static.carrefour.es/hd_510x_/img_pim_food/002278_00_1.jpg
https://www.carrefour.es/supermercado/mopa-11-recambio-swiffer-1-ud/R-fprod1440012/p,Mopa + 11 recambio Swiffer 1 ud.,"17,69 €",,Limpieza y Hogar,Productos para toda la casa,Suelos,https://static.carrefour.es/hd_510x_/img_pim_food/375646_00_1.jpg
https://www.carrefour.es/supermercado/chupete-con-tetina-anatomica-sx-pro-de-silicona-0-6-meses-suavinex-2-ud/R-VC4AECOMM-625891/p,Chupete con tetina anatómica SX Pro de silicona 0-6 meses Suavinex 2 ud.,"6,99 €",,Parafarmacia,Bebé,Puericultura,https://static.carrefour.es/hd_510x_/img_pim_food/625891_00_1.jpg
https://www.carrefour.es/supermercado/limpiador-de-vitroceramica-e-induccion-en-crema-carrefour-500-ml/R-prod970046/p,Limpiador de vitrocerámica e inducción en crema Carrefour 500 ml.,"1,99 €",,Limpieza y Hogar,Productos para Cocina,Vitrocerámicas e Inducción,https://static.carrefour.es/hd_510x_/img_pim_food/051958_00_1.jpg
https://www.carrefour.es/supermercado/crema-de-fresa-con-tequila-regidor-botella-70-cl/R-VC4AECOMM-129222/p,Crema de fresa con tequila Regidor botella 70 cl.,"9,75 €",,Bebidas,Licores y Cremas,Cremas,https://static.carrefour.es/hd_510x_/img_pim_food/129222_00_1.jpg
https://www.carrefour.es/supermercado/limonada-don-simon-exprimida-botella-15-l/R-714518204/p,"Limonada Don Simón exprimida botella 1,5 l.","1,13 €",,Bebidas,Aguas y Zumos,Zumos no Refrigerados,https://static.carrefour.es/hd_510x_/img_pim_food/466468_00_1.jpg
https://www.carrefour.es/supermercado/tabla-de-ibericos-en-lonchas-carrefour-sin-gluten-200-g/R-VC4AECOMM-709832/p,Tabla de ibéricos en lonchas Carrefour sin gluten 200 g.,"5,95 €",,Productos Frescos,Charcutería,Tablas y Surtidos,https://static.carrefour.es/hd_510x_/img_pim_food/709832_00_1.jpg
https://www.carrefour.es/supermercado/tomate-frito-con-aceite-de-oliva-virgen-extra-carrefour-pack-de-3-briks-de-215-g/R-prod730719/p,Tomate frito con aceite de oliva virgen extra Carrefour pack de 3 briks de 215 g.,"1,43 €",,La Despensa,Alimentación,Salsas y Tomate Frito,https://static.carrefour.es/hd_510x_/img_pim_food/854879_00_1.jpg
https://www.carrefour.es/supermercado/desodorante-roll-on-antitranspirante-48h-eucerin-pack-de-2-unidades-de-50-ml/R-662602170/p,Desodorante roll on antitranspirante 48h Eucerin pack de 2 unidades de 50 ml.,"10,35 €",,Parafarmacia,Cuidado corporal,Desodorantes,https://static.carrefour.es/hd_510x_/img_pim_food/313156_00_1.jpg
https://www.carrefour.es/supermercado/galletas-energy-chiquilin-artiach-160-g/R-VC4AECOMM-361276/p,Galletas energy Chiquilin Artiach 160 g.,"2,75 €",,La Despensa,"Panaderia, Bollería y Pastelería",Bollería,https://static.carrefour.es/hd_510x_/img_pim_food/361276_00_1.jpg
https://www.carrefour.es/supermercado/rollo-de-mantel-de-papel-110x100-cm-ph-blanco/R-529921791/p,Rollo de Mantel de Papel 110x100 cm P&H - Blanco,"5,39 €",,Limpieza y Hogar,Menaje,Menaje Desechable,https://static.carrefour.es/hd_510x_/img_pim_food/136959_00_1.jpg
https://www.carrefour.es/supermercado/costilla-de-cerdo-iberico-carrefour-500-g-aprox/R-VC4AECOMM-517450/p,Costilla de cerdo ibérico Carrefour 500 g aprox,"4,45 €",,Productos Frescos,Carnicería,Cerdo,https://static.carrefour.es/hd_510x_/img_pim_food/517450_00_1.jpg
https://www.carrefour.es/supermercado/mousse-de-cappuccino-alto-en-proteinas-valio-profeel-protein-sin-azucar-anadido-150-g/R-VC4AECOMM-180780/p,Mousse de cappuccino alto en proteínas Valio Profeel Protein sin azúcar añadido 150 g.,"1,73 €",,La Despensa,Yogures y Postres,Proteína,https://static.carrefour.es/hd_510x_/img_pim_food/180780_00_1.jpg
https://www.carrefour.es/supermercado/vino-tinto-crianza-vina-cumbrero-doca-rioja-75-cl/R-520662449/p,Vino tinto crianza Viña Cumbrero D.O.Ca Rioja 75 cl.,"5,75 €",,Bebidas,Vinos,Tinto,https://static.carrefour.es/hd_510x_/img_pim_food/736159_00_1.jpg
https://www.carrefour.es/supermercado/estuche-de-paleta-de-cebo-iberica-50-raza-iberica-circulo-de-calidad-3-sobres-de-100-g/R-VC4AECOMM-433888/p,Estuche de Paleta de Cebo Ibérica 50% Raza Ibérica Círculo de Calidad 3 sobres de 100 g,"13,09 €",,Productos Frescos,Charcutería,Jamón Serrano e Ibérico Envasado,https://static.carrefour.es/hd_510x_/img_pim_food/433888_00_1.jpg
https://www.carrefour.es/supermercado/pasta-de-curry-suave-pataks-165-g/R-789855600/p,Pasta de curry suave Patak's 165 g.,"4,49 €",,La Despensa,Alimentación,Salsas y Tomate Frito,https://static.carrefour.es/hd_510x_/img_pim_food/885434_00_1.jpg
https://www.carrefour.es/supermercado/rizapestanas-automatico-beter-1-ud/R-792255296/p,Rizapestañas automático Beter 1 ud.,"4,35 €",,Perfumería e Higiene,Cosmética,Accesorios de Maquillaje y Manicura y Pedicura,https://static.carrefour.es/hd_510x_/img_pim_food/871159_00_1.jpg
https://www.carrefour.es/supermercado/limpiador-de-banos-multisuperficies-pulverizador-kh-7-780-ml/R-VC4AECOMM-340082/p,Limpiador de baños multisuperficies pulverizador KH-7 780 ml.,"3,89 €",,Limpieza y Hogar,Productos para Baño,Limpiadores Baño,https://static.carrefour.es/hd_510x_/img_pim_food/340082_00_1.jpg
https://www.carrefour.es/supermercado/dentifrico-limpieza-interdental-integral-8-signal-75-ml/R-VC4AECOMM-188969/p,Dentífrico limpieza interdental integral 8 Signal 75 ml.,"2,49 €",,Perfumería e Higiene,Boca y Sonrisa,Dentífricos,https://static.carrefour.es/hd_510x_/img_pim_food/188969_00_1.jpg
