id,url,nombre,precio,precio_por,marca,categoria,imagen
VC4A-5182760,https://www.carrefour.es/supermercado/fregona-trenzada-carrefour-bicolor/R-prod810073/p,Fregona Trenzada CARREFOUR - Bicolor,1.99,1.99 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/017896_00_1.jpg
2011985938,https://www.carrefour.es/supermercado/fregona-super-30-microfibras-vileda/R-521007641/p,Fregona Super +30% Microfibras VILEDA,3.49,3.49 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/008129_00_1.jpg
VC4A-22743145,https://www.carrefour.es/supermercado/set-2-fregonas-carrefour-home-amarillas/R-527031208/p,Set 2 Fregonas CARREFOUR HOME - Amarillas,1.99,0.99 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/588086_00_1.jpg
VC4A-11911182,https://www.carrefour.es/supermercado/fregona-de-microfibra-vileda-super/R-VC4AECOMM-572677/p,Fregona de Microfibra VILEDA Super,5.79,5.79 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/572677_00_1.jpg
VC4A-3195103,https://www.carrefour.es/supermercado/fregona-microfibra-poliester-vileda-premium-2-en-1/R-prod550372/p,Fregona Microfibra Poliéster VILEDA Premium 2 en 1 ,5.19,5.19 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/836288_00_1.jpg
2011985970,https://www.carrefour.es/supermercado/fregona-de-tiras-algodon-vileda-universal/R-609800762/p,Fregona de Tiras Algodón VILEDA Universal,3.29,3.29 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/127487_00_1.jpg
VC4A-4887146,https://www.carrefour.es/supermercado/fregona-hilo-superabsorbente-kh7-blanco/R-fprod1220406/p,Fregona Hilo Superabsorbente KH7 - Blanco,2.99,2.99 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/278315_00_1.jpg
2028814368,https://www.carrefour.es/supermercado/recambio-fregona-microfibra-vileda-turbo-refill-2-en-1/R-843302559/p,Recambio Fregona Microfibra VILEDA Turbo Refill 2 en 1,10.39,10.39 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/985348_00_1.jpg
VC4A-7926920,https://www.carrefour.es/supermercado/fregona-tiras-de-microfibra-kh7-amarillo/R-fprod1220403/p,Fregona tiras de microfibra KH7 - Amarillo,5.25,5.25 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/278303_00_1.jpg
VC4A-4887159,https://www.carrefour.es/supermercado/fregona-ultra-resistente-kh7-lila/R-fprod1220399/p,Fregona ultra Resistente KH7 - Lila,4.29,4.29 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/278309_00_1.jpg
VC4A-12073793,https://www.carrefour.es/supermercado/fregona-tubular-microfibra-rozenbal-azul/R-VC4AECOMM-575229/p,Fregona Tubular Microfibra ROZENBAL - Azul,4.59,4.59 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/575229_00_1.jpg
2025963058,https://www.carrefour.es/supermercado/fregona-de-microfibra-scotch-brite-ultrasec-verde/R-526548127/p,Fregona de Microfibra SCOTCH BRITE Ultrasec - Verde,3.19,3.19 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/507511_00_1.jpg
2007970434,https://www.carrefour.es/supermercado/fregona-sintetica-ballerina-la-original-amarilla/R-790069052/p,Fregona Sintética BALLERINA La Original - Amarilla,4.79,4.79 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/761969_00_1.jpg
VC4A-7213864,https://www.carrefour.es/supermercado/fregona-microfibras-spontex-mosaik-lila/R-prod1140198/p,Fregona Microfibras  SPONTEX Mosaik.- Lila,5.39,5.39 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/198151_00_1.jpg
VC4AECOMM-272188,https://www.carrefour.es/supermercado/fregona-microfibra-vileda-eco/R-VC4AECOMM-272188/p,Fregona Microfibra VILEDA Eco,4.15,4.15 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/272188_00_1.jpg
VC4A-4887059,https://www.carrefour.es/supermercado/fregona-microfibra-secado-rapido-kh7-naranja/R-fprod1220430/p,Fregona Microfibra Secado Rápido KH7 - Naranja,4.19,4.19 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/278249_00_1.jpg
2015241334,https://www.carrefour.es/supermercado/2-fregonas-extra-spontex-blanco/R-835752375/p,2 Fregonas  Extra SPONTEX  - Blanco,6.59,3.29 €/ud,,Fregonas,https://static.carrefour.es/hd_350x_/img_pim_food/972504_00_1.jpg
VC4AECOMM-675904,https://www.carrefour.es/supermercado/mascarilla-quirurgica-desechable-tipo-iir-negras-para-adulto-soft-carrefour-pack-de-10-ud/R-VC4AECOMM-675904/p,Mascarilla quirúrgica desechable tipo IIR negras para adulto Soft Carrefour pack de 10 ud.,0.95,0.09 €/ud,Carrefour,Mascarillas,https://static.carrefour.es/hd_350x_/img_pim_food/675904_00_1.jpg
VC4AECOMM-624610,https://www.carrefour.es/supermercado/mascarillas-quirurgicas-iir-desechables-para-adulto-soft-carrefour-pack-de-10-ud/R-VC4AECOMM-624610/p,Mascarillas quirúrgicas IIR desechables para adulto Soft Carrefour pack de 10 ud.,0.95,0.09 €/ud,Carrefour,Mascarillas,https://static.carrefour.es/hd_350x_/img_pim_food/624610_00_1.jpg
VC4AECOMM-675898,https://www.carrefour.es/supermercado/mascarilla-quirurgica-desechable-tipo-iir-infantiles-soft-carrefour-pack-de-10-ud/R-VC4AECOMM-675898/p,Mascarilla quirúrgica desechable tipo IIR infantiles Soft Carrefour pack de 10 ud.,0.95,0.09 €/ud,Carrefour,Mascarillas,https://static.carrefour.es/hd_350x_/img_pim_food/675898_00_1.jpg
VC4AECOMM-253575,https://www.carrefour.es/supermercado/harina-de-trigo-classic-carrefour-1-kg/R-VC4AECOMM-253575/p,Harina de trigo Classic Carrefour 1 kg.,0.65,0.65 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/253575_00_1.jpg
521005396,https://www.carrefour.es/supermercado/harina-de-trigo-gallo-1-kg/R-521005396/p,Harina de trigo Gallo 1 kg.,1.29,1.29 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/002267_00_1.jpg
805763827,https://www.carrefour.es/supermercado/levadura-fresca-levanova-sin-gluten-pack-de-2-sobres-de-25-g/R-805763827/p,Levadura fresca Levanova sin gluten pack de 2 sobres de 25 g. ,0.49,9.80 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/924982_00_1.jpg
590212127,https://www.carrefour.es/supermercado/harina-de-maiz-randimpak-1-kg/R-590212127/p,Harina de maíz Randimpak 1 kg.,2.69,2.69 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/385434_00_1.jpg
prod540112,https://www.carrefour.es/supermercado/harina-de-trigo-carrefour-2-kg/R-prod540112/p,Harina de trigo Carrefour 2 kg.,1.41,0.70 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/835041_00_1.jpg
791104630,https://www.carrefour.es/supermercado/harina-de-maiz-fina-maizena-sin-gluten-400-g/R-791104630/p,Harina de maíz fina Maizena sin gluten 400 g.,3.29,8.22 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/886576_00_1.jpg
VC4AECOMM-253580,https://www.carrefour.es/supermercado/harina-de-trigo-especial-reposteria-original-carrefour-1-kg/R-VC4AECOMM-253580/p,Harina de trigo especial repostería Original Carrefour 1 kg.,1.23,1.23 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/253580_00_1.jpg
VC4AECOMM-034554,https://www.carrefour.es/supermercado/harina-integral-de-trigo-classic-carrefour-1-kg/R-VC4AECOMM-034554/p,Harina integral de trigo Classic Carrefour 1 kg.,1.09,1.09 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/034554_00_1.jpg
803403916,https://www.carrefour.es/supermercado/harina-de-fuerza-de-trigo-gallo-1-kg/R-803403916/p,Harina de fuerza de trigo Gallo 1 kg.,1.99,1.99 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/913327_00_1.jpg
fprod1480321,https://www.carrefour.es/supermercado/harina-de-avena-integral-carrefour-500-g/R-fprod1480321/p,Harina de avena integral Carrefour 500 g.,1.3,2.60 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/414666_00_1.jpg
785714946,https://www.carrefour.es/supermercado/harina-especial-para-bizcochos-gallo-1-kg/R-785714946/p,Harina especial para bizcochos Gallo 1 kg.,1.95,1.95 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/876614_00_1.jpg
638702041,https://www.carrefour.es/supermercado/harina-de-maiz-randimpak-sin-gluten-1-kg/R-638702041/p,Harina de maíz Randimpak sin gluten 1 kg.,2.69,2.69 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/535019_00_1.jpg
prod540140,https://www.carrefour.es/supermercado/harina-de-espelta-integral-carrefour-1-kg/R-prod540140/p,Harina de espelta integral Carrefour 1 kg.,1.42,1.42 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/835026_00_1.jpg
VC4AECOMM-034885,https://www.carrefour.es/supermercado/harina-especial-amasar-pizza-original-carreofur-1-kg/R-VC4AECOMM-034885/p,Harina especial amasar pizza Original Carreofur 1 kg.,1.69,1.69 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/034885_00_1.jpg
prod960041,https://www.carrefour.es/supermercado/harina-de-garbanzo-carrefour-sin-gluten-500-g/R-prod960041/p,Harina de garbanzo Carrefour sin gluten 500 g.,1.99,3.98 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/049548_00_1.jpg
fprod1480207,https://www.carrefour.es/supermercado/harina-de-maiz-fina-sin-gluten-carrefour-400-g/R-fprod1480207/p,Harina de maiz fina sin gluten Carrefour 400 g.,1.2,3 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/413401_00_1.jpg
